key,sw
title,Mwongozo Wa Ukusanyaji Wa Takwimu Za Uvuvi
subtitle,Mwongozo wa kusimamia tafiti ili kupata data ya uvuvi
intro,Utangulizi
p1,"Hati hii inatoa mwongozo na mapendekezo ya kusimamia vyombo vitatu vya uchunguzi ili kunasa habari kuhusu jamii za wavuvi na uvuvi wanaotegemea (Kielelezo 1). Uchunguzi huo ulibuniwa ili kupatanisha yaliyomo na jinsi data itakavyotumiwa na mzunguko wa mabadiliko unaotarajiwa. Utafiti wa ngazi ya juu, Profiling Ya Jamii, ina maswali ambayo husaidia kujenga uelewa bora wa shughuli za uvuvi katika jamii na hali ya kijamii na kiuchumi. Kuelewa mazingira ya kijamii na kiuchumi ni muhimu sana wakati kazi inapoanza katika jamii. Taarifa zilizokusanywa wakati wa utafiti huu ni muhimu kwa ajili ya kubuni mikakati ya ushiriki wa jamii na mipango ya sampuli ya data. Uchunguzi Wa Kutua Na Uchunguzi wa Ufuatiliaji hukusanya data juu ya uvuvi uliopatikana na uvuvi. Takwimu Za Kutua Zinakusanywa mara chache na huchukua habari juu ya makazi ya uvuvi, aina ya gia, juhudi, na urefu wa samaki binafsi. Uchunguzi Wa Ufuatiliaji Wa Kutua, uliofanywa kila siku, ni uchunguzi wa uvuvi wa haraka unaokusanya kiwango cha chini cha habari kinachohitajika kufuatilia mabadiliko ya kiasi cha samaki na thamani, kama vile spishi, uzito, hesabu na bei."
fig1,Kielelezo 1: Ratiba Ya wakati ya kusimamia vyombo vitatu tofauti vya uchunguzi kwa kiwango cha mwaka mmoja.
survey,Maelezo Ya Utafiti
cps,Utafiti Wa Profaili Ya Jamii
goal,Lengo
p2,Kuelewa mazingira ya jumla ya jamii na uvuvi unaofanya kazi ndani ya jamii.
dc,Takwimu Zilizokusanywa
point1,"Idadi ya wanajamii, wavuvi, wafanyabiashara wa samaki, wanawake"
point2,Mazingira ya jumla ya uvuvi unaofanya kazi ndani ya jamii
point3,Gia kutumika; aina walengwa; makazi samaki; misimu; vyombo
point4,Habari juu ya juhudi za uvuvi na gharama
point5,"Maoni juu ya uvuvi na hali ya makazi, vitisho"
point6,Taarifa kuhusu usimamizi / kanuni za sasa za uvuvi
point7,"Utambulisho (kupitia ramani) ya maeneo muhimu ya uvuvi, makazi, maeneo ya kutua"
ta,Watazamaji Wa Lengo
p3,"10-20 watoa habari muhimu ndani ya jamii, yaani, viongozi wa jamii, wavuvi wanaoheshimiwa, wafanyabiashara wa samaki, na wanawake."
ft,Mzunguko na Muda
p4,"Wakati kazi inapoanza katika jamii mpya ya uvuvi, kufanya Utafiti Wa Wasifu Wa Jamii na zoezi la awali la wasifu hutoa data ya msingi na habari muhimu kubuni juhudi za uhifadhi na usimamizi zinazofaa zaidi kwa jamii. Kurudia Utafiti Wa Wasifu Wa Jamii kunaweza kusaidia kurekodi mabadiliko makubwa yanayotokea kwa muda."
method,Mbinu
p5,"Habari inaweza kukusanywa kupitia tafiti za mtu wa tatu (yaani, sensa, rekodi za idara ya uvuvi, nk), vikundi vya kuzingatia vinavyojumuisha wanajamii muhimu 10-20 au wajuzi muhimu. Viongozi wa jamii pamoja na wavuvi na wafanyabiashara wa samaki wenye ujuzi na tofauti (ikiwa ni pamoja na wanawake na vijana) watakuwa washiriki bora wa kuingiza katika kikundi cha lengo. Katika kuwezesha vikundi vya kuzingatia, inashauriwa kuwa na, kwa kiwango cha chini, mwezeshaji na mpokeaji wa barua. Katika kikundi cha lengo, inashauriwa pia kuwa na washiriki kutoa orodha ya/habari ya mawasiliano kwa wavuvi katika jamii ambao wanaweza kuwasiliana ili kusimamia Tafiti Za Kaya. Kama haiwezekani kufanya Utafiti Wa Jamii Profiling katika muundo wa kundi lengo, mbadala ni kusimamia maswali sawa na tafiti binafsi na muhimu informants na pool majibu. Maswali yaliyojumuishwa katika utafiti wa wasifu wa jamii na mapendekezo ya kufanya majadiliano ya kikundi cha kuzingatia yanaweza kupatikana katika Kiambatisho a hapa chini."
lms,Uchunguzi Wa Ufuatiliaji Wa Kutua
p6,"Kukamata data muhimu zinazohitajika kuhesabu viashiria rahisi vya urefu wa afya ya uvuvi na kufuatilia mabadiliko katika uzalishaji wa uvuvi, thamani, na muundo."
point8,Tarehe imefika
point9,Mahali pa kutua
point10,Jina la mfanyabiashara wa samaki
point11,Jina la Fisher
point12,Jitihada za uvuvi (siku za uvuvi/gleaning)
point13,"Utambulisho wa spishi (majina ya kawaida, ya kawaida, ya kisayansi)"
point14,Jumla ya hesabu
point15,Jumla ya uzito
point16,Jumla ya bei
point17,"Sababu jumla catch si kuuzwa, kama inatumika"
p7,Wavuvi wanapotua samaki wao au kwenye nyumba/soko la wanunuzi wa samaki.
