key,sw
title,Mwongozo wa ukusanyaji wa takwimu za uvuvi and jamii
subtitle,Mwongozo wa haraka Kwa ajili Ya kobotoolbox survey data collection mifumo na itifaki.
intro,Utangulizi
p1,Mwongozo wa haraka hutoa mwongozo wa hatua kwa hatua kukusanya na kuthibitisha uvuvi na data ya jamii kupitia mfumo uliotengenezwa na Bahari Ya Barefoot. Mwongozo huu unafupisha mchakato wa ukusanyaji wa data na inaelezea itifaki za kusasisha faili za kumbukumbu na meza za kudhibiti ubora. Mwongozo kamili na maelezo zaidi juu Ya mfumo Wa Ukusanyaji Wa Data Ya Uvuvi unaweza kupatikana kwenye folda Ya Vifaa vya Mafunzo iliyounganishwa hapa chini.
p2,"Tumeanzisha fomu nne za utafiti ili kukusanya data juu ya uvuvi wa uvuvi na jamii za uvuvi. Maelezo ya kina ya uchunguzi yanapatikana katika mwongozo kamili katika Kiingereza, Kiindonesia Cha Bahasa, Cebuano, kifaransa, Kitagalogi, Kiswahili, Kimalagasi, kihispania, kireno, na tafsiri za Tetun hapa."
p3,"Uchunguzi Wa Ufuatiliaji Wa Kutua huchukua data ya chini, kwa kawaida kila siku au mara nyingi iwezekanavyo, inahitajika kufuatilia mwenendo wa muda mrefu katika uzalishaji wa uvuvi, muundo wa spishi, na thamani ya kukamata. Utafiti huu unaweza kusaidia kutathmini athari za kufungwa kwa uvuvi au mikakati mingine ya usimamizi kwa kulinganisha data kabla na baada ya utekelezaji. Utafiti ni mfupi na user-kirafiki kuruhusu kwa ajili ya mara kwa mara zaidi na thabiti ukusanyaji wa data."
p4,"Utafiti Wa Maelezo Ya Kutua hukusanya data ya kina ya uvuvi juu ya gia, juhudi, na saizi ya samaki binafsi au uti wa mgongo pamoja na habari maalum kwa vikundi maalum vya spishi kama ngono, ubora wa samaki, data ya mtindo, na ukomavu wa yai. Ubora wa kukamata pweza ni pamoja na njia za kuhifadhi, rangi, nambari ya hema, abrasions ya mwili, ubora wa mdomo, na hali ya ngozi. Takwimu za octopus stylet ni pamoja na picha za sampuli na mzunguko wa ukuaji. Takwimu za ukomavu wa yai huchangia uzito wa gonad, rangi, hatua, urefu, na kuonekana kwa mstari katika tezi za ovari za pweza wa kike. Takwimu hizi zinasaidia data ya ufuatiliaji wa kutua na kusaidia washirika kuelewa vizuri mwenendo wa uvuvi uliozingatiwa katika uzalishaji wa uvuvi na athari za usimamizi wa uvuvi. Utafiti huo ulibuniwa kufanywa mwanzoni mwa ushiriki katika jamii na baadaye kufanywa kila baada ya miaka miwili, kabla na baada ya kutekeleza mkakati wa usimamizi, au kama inahitajika kuelezea mabadiliko katika kukamata kuchunguzwa kupitia data ya ufuatiliaji."
p5,"Utafiti Wa Maelezo Ya Jamii unakusanya uelewa kamili wa mazingira ya kijamii na kiuchumi na uvuvi wa jamii. Utafiti hutumiwa wakati wa kwanza kushirikiana na jamii na kurudia wakati inafaa kurekodi mabadiliko makubwa katika tabia ya uvuvi, maoni ya wavuvi, na usimamizi wa rasilimali. Utafiti frequency itategemea mradi wigo (yaani, wakati mabadiliko inatarajiwa kutokea)."
p6,"Fisher Household Survey inachukua maelezo ya kina ya kaya ya fisher, kama vile maoni ya kiwango cha kaya ya shughuli zinazohusiana na uvuvi, vyanzo vya mapato, shughuli za kila siku, spishi kuu za samaki zilizovuliwa, kutegemea samaki kwa chakula, na shughuli za uvuvi. Utafiti hutumiwa wakati wa kwanza kushirikiana na jamii na kurudia kila baada ya miaka miwili hadi mitano au baada ya hatua za usimamizi kurekodi mabadiliko katika tabia ya uvuvi, maoni ya wavuvi, ufanisi wa usimamizi, usalama wa chakula, uaminifu, na usawa wa kijinsia."
steps,Hatua Za Kutumia Fomu Za KoboToolbox
