key,fil
title,Pag-Update Ng Mga File Ng Sanggunian
p1,"Ang lahat ng mga file ng sanggunian ay na-update sa Smartsheet Dynamic View. Ang mga file ng sanggunian ay nagsisilbing mga input para sa mga listahan ng dropdown sa mga form ng KoboToolbox at naglalaman ng data na idinagdag sa mga master dataset sa pamamagitan ng mga pagsali. Naglalaman ang mga ito ng komprehensibong impormasyon sa mga antas ng pamamahala ng mga pamayanan ng pangingisda (bansa, lalawigan, distrito, nayon), mga landing site, Lugar ng pangingisda, mangingisda, mamimili, kolektor ng data, species, lugar ng pamamahala, uri ng gear, at mga samahang nakikipagtulungan. Ang mga hakbang sa ibaba ay nagbabalangkas kung paano i-update ang mga file ng sanggunian na may bagong impormasyon."
step1,Hakbang 1: Lumikha ng isang libreng smartsheet account.
point1,Ang isang libreng account ay maaaring malikha sa https://www.smartsheet.com/
point2,"Piliin ang ""Subukan ang smartsheet nang libre"""
step2,Hakbang 2: Magbigay ng Barefoot Ocean ang email address na ginamit mo upang lumikha ng iyong smartsheet account.
point3,Karagatan ng Barefoot pagkatapos ay ibahagi ang mga file ng sanggunian na nauugnay sa iyong samahan.
point4,Upang matingnan ang iyong mga sanggunian na file kakailanganin mong mag-sign in smartsheet Dynamic View gamit ang iyong mga kredensyal sa smartsheet: https://dynamicview.smartsheet.com/login
point5,"Kapag naka-log in sa Dynamic View (hindi ang smartsheet app), makikita mo ang isang listahan ng mga sanggunian na file na ibinahagi sa iyong account (Larawan 1)."
fig1,Larawan 1: Listahan ng mga file ng sanggunian sa Dynamic View
step3,Hakbang 3: Mag-Click sa isang reference file upang gumawa ng mga update
point6,"Kapag bukas, maaari kang mag-click sa bawat hilera upang gumawa ng mga pag-edit sa umiiral na data, o i-click ang pindutang ""Bago"" sa kanang sulok sa itaas upang magdagdag ng bagong data (Larawan 2)."
point7,"Ang isang panel ng mga detalye ay lilitaw sa kanang bahagi kung saan ilalagay mo ang kinakailangang impormasyon (larawan 3; talahanayan 1). Piliin ang"" I-save "" sa kanang bahagi sa ibaba ng panel ng mga detalye kapag tapos ka nang mag-update. Hindi mo kailangang abisuhan ang Barefoot Ocean kapag gumawa ka ng mga pagbabago o pagdaragdag sa mga sheet ng ref. Ang ay awtomatikong pinagsama sa master reference file at inkorporada sa Kobo."
